id,count_id,location_name,longitude,latitude,centreline_id,time_start,time_end,direction,volume_15min
8255341,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 08:00:00,2021-05-03 08:15:00,EB,21
8255342,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 08:15:00,2021-05-03 08:30:00,EB,18
8255343,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 08:30:00,2021-05-03 08:45:00,EB,24
8255344,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 08:45:00,2021-05-03 09:00:00,EB,20
8255345,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 09:00:00,2021-05-03 09:15:00,EB,24
8255346,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 09:15:00,2021-05-03 09:30:00,EB,27
8255347,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 09:30:00,2021-05-03 09:45:00,EB,20
8255348,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 09:45:00,2021-05-03 10:00:00,EB,14
8255349,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 10:00:00,2021-05-03 10:15:00,EB,17
8255350,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 10:15:00,2021-05-03 10:30:00,EB,21
8255351,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 10:30:00,2021-05-03 10:45:00,EB,28
8255352,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 10:45:00,2021-05-03 11:00:00,EB,32
8255353,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 11:00:00,2021-05-03 11:15:00,EB,26
8255354,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 11:15:00,2021-05-03 11:30:00,EB,29
8255355,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 11:30:00,2021-05-03 11:45:00,EB,20
8255356,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 11:45:00,2021-05-03 12:00:00,EB,25
